"id","engine","indicator","typeViz","archived"
"15","carteScolaire","Nombre d'�l�ves","non_defini","false"
"14","carteScolaire","Taux de remplissage","non_defini","false"
"22","carteScolaire","Temps moyen de trajet vers �cole � pied","non_defini","false"
"11","relocation","Clients des points de vente","multi-vbar","false"
"12","relocation","Eloignement des clients","multi-vbar","false"
"10","relocation","Tenue de territoire","radial","false"
"13","relocation","Tenue de territoire finale","radial","false"
"1","simouv","Cannibalisation","radial","false"
"8","simouv","Gain de couverture","text","false"
"4","simouv","Nombre de clients","hbar","false"
"5","simouv","Nombre de concurrents","hbar","false"
"2","simouv","Nombre de points de vente","hbar","false"
"3","simouv","Part de march�","radial","false"
"7","simouv","Part guichet","radial","false"
"9","simouv","Population","hbar","false"
"6","simouv","Pression concurrentielle","hbar","false"
